pair,variant,feature_name,n_samples,corr_w45_h15,corr_w45_h30,corr_w45_h45,corr_w45_h60,corr_w45_h75,corr_w45_h90,corr_w45_h105,corr_w90_h15,corr_w90_h30,corr_w90_h45,corr_w90_h60,corr_w90_h75,corr_w90_h90,corr_w90_h105,corr_w180_h15,corr_w180_h30,corr_w180_h45,corr_w180_h60,corr_w180_h75,corr_w180_h90,corr_w180_h105,corr_w360_h15,corr_w360_h30,corr_w360_h45,corr_w360_h60,corr_w360_h75,corr_w360_h90,corr_w360_h105,corr_w720_h15,corr_w720_h30,corr_w720_h45,corr_w720_h60,corr_w720_h75,corr_w720_h90,corr_w720_h105,corr_w1440_h15,corr_w1440_h30,corr_w1440_h45,corr_w1440_h60,corr_w1440_h75,corr_w1440_h90,corr_w1440_h105,corr_w2880_h15,corr_w2880_h30,corr_w2880_h45,corr_w2880_h60,corr_w2880_h75,corr_w2880_h90,corr_w2880_h105,avg_w45,avg_w90,avg_w180,avg_w360,avg_w720,avg_w1440,avg_w2880,avg_all,max_abs_corr
audchf,idx,reg_ci_lower_90,2144379,0.9999905078200373,0.9999899731823672,0.9999718621624677,0.9999456961538559,0.9999197283110325,0.9998938829814459,0.9998681293954669,0.9999688001114225,0.9999816130579426,0.999985741259973,0.9999811741098985,0.9999679224357704,0.999945943845683,0.9999199840256238,0.9999189574715328,0.9999383086688108,0.9999533277347442,0.9999640217683589,0.9999704012585777,0.9999724832095509,0.9999702690931416,0.9998167460616144,0.999839188965723,0.9998595140068457,0.9998777102362465,0.9998937678658057,0.9999076853489572,0.999919474414786,0.9996143775066796,0.9996382871442915,0.9996611201125651,0.9996828734500277,0.9997035494549512,0.9997231565570863,0.9997416957718821,0.9992121953712272,0.9992365780089679,0.9992604405150602,0.999283778962681,0.9993065961388663,0.9993288922413358,0.9993506658221915,0.9984744844347239,0.9984975979473121,0.998520460623497,0.9985430698226533,0.9985654273896936,0.998587534936346,0.9986093931031603,0.9999399685723818,0.999964454120902,0.9999553956006739,0.9998734409857113,0.9996807228567832,0.999282735294333,0.9985425668939124,0.9996056120463853,0.9999905078200373
audchf,idx,reg_ci_lower_45,2144379,0.9999904336685191,0.999989932497878,0.9999718127761,0.9999456305423732,0.9999196580461671,0.9998938204988502,0.9998680774991417,0.9999686649460601,0.9999814973481448,0.9999856472387602,0.9999811041425404,0.9999678669783805,0.9999458879912919,0.9999199252557287,0.9999188545364475,0.9999382009951295,0.9999532151671049,0.9999639060415656,0.9999702868169503,0.9999723758338224,0.9999701718316568,0.9998167206321268,0.9998391595342976,0.9998594788969624,0.9998776689979104,0.9998937216757432,0.9999076356914097,0.9999194216493115,0.9996143887921478,0.9996382961446062,0.99966112597142,0.9996828754695165,0.9997035477707893,0.9997231515938043,0.9997416878999651,0.999212220563443,0.9992366020668658,0.9992604631356365,0.9992837999718307,0.9993066160047153,0.9993289113969714,0.999350684316913,0.998474583969917,0.9984976957659802,0.9985205565246387,0.9985431638984785,0.998565519885662,0.9985876259573051,0.9986094825973826,0.99993990936129,0.9999643705572723,0.9999552873175253,0.9998734010111088,0.9996807248060355,0.9992827567794823,0.9985426612284806,0.9996055872944564,0.9999904336685191
eurjpy,idx,reg_min_45,2155694,0.9999892877270559,0.9999822197737044,0.9999713226105984,0.9999592700831142,0.9999471914907291,0.9999351500714517,0.9999231697866287,0.9999887804957028,0.9999900624259604,0.9999871138497233,0.9999802919764916,0.9999707184347583,0.9999592487269988,0.9999472317789183,0.9999691219159814,0.9999759876957227,0.9999808401050536,0.9999836740276936,0.9999844789116836,0.9999832435734871,0.9999799552018597,0.9999228023815808,0.9999321999084997,0.999940602569109,0.9999480058179758,0.9999544084224911,0.9999598154269255,0.9999642320849439,0.999829823886249,0.9998402331375608,0.9998501556000581,0.999859591753373,0.9998685424239239,0.9998770087497784,0.9998849915970599,0.9996457035229862,0.9996565957651017,0.9996672423375448,0.9996776449488884,0.9996878031883105,0.9996977186292882,0.9997073925025254,0.9992939802138238,0.9993047147820271,0.9993153344241745,0.9993258399859474,0.9993362297957291,0.9993465038428262,0.9993566622542615,0.9999582302204689,0.9999747782412219,0.9999796144902117,0.9999460095159323,0.9998586210211433,0.9996771572706635,0.9993256093283985,0.9998171457268629,0.9999900624259604
eurjpy,idx,agg_min_45,2155694,0.9999892877270559,0.9999822197737043,0.9999713226105984,0.9999592700831142,0.9999471914907291,0.9999351500714518,0.9999231697866289,0.9999887804957027,0.9999900624259603,0.9999871138497232,0.9999802919764916,0.9999707184347583,0.9999592487269986,0.9999472317789183,0.9999691219159818,0.9999759876957227,0.9999808401050536,0.9999836740276936,0.9999844789116835,0.9999832435734871,0.9999799552018597,0.9999228023815808,0.9999321999084996,0.9999406025691091,0.9999480058179755,0.9999544084224908,0.9999598154269254,0.9999642320849439,0.999829823886249,0.9998402331375608,0.9998501556000581,0.9998595917533731,0.9998685424239239,0.9998770087497784,0.9998849915970596,0.9996457035229863,0.999656595765102,0.9996672423375444,0.9996776449488882,0.9996878031883105,0.9996977186292881,0.9997073925025253,0.9992939802138234,0.9993047147820268,0.9993153344241749,0.999325839985947,0.9993362297957293,0.9993465038428262,0.9993566622542613,0.9999582302204689,0.9999747782412218,0.9999796144902116,0.9999460095159322,0.9998586210211433,0.9996771572706635,0.9993256093283984,0.9998171457268628,0.9999900624259603
gbpjpy,idx,reg_min_45,2179062,0.9999890235979826,0.9999816604048775,0.9999703666878688,0.9999578902136333,0.9999453848554758,0.9999329411760235,0.9999205806101373,0.9999886976127692,0.9999899007467972,0.9999867600280371,0.9999796426901435,0.9999697082051116,0.999957839210353,0.9999454203234989,0.9999686756537611,0.9999757039898483,0.9999806403214616,0.9999834818278112,0.9999842261784048,0.9999828686054464,0.9999793985792349,0.9999206483315268,0.999930391691655,0.9999390935614261,0.9999467514093296,0.9999533662134553,0.9999589457871425,0.999963499373966,0.9998227868145376,0.9998337227345255,0.9998441428588818,0.9998540481979097,0.9998634411987627,0.9998723245812485,0.9998806996099993,0.9996243787308745,0.9996359976336234,0.9996473576486076,0.9996584606308636,0.9996693079615857,0.9996799007013798,0.9996902389430569,0.9992394635536601,0.9992511406615233,0.9992626922319232,0.9992741185259337,0.999285420292353,0.9992965979686633,0.9993076505817001,0.9999568353637142,0.9999739955452444,0.9999792850222812,0.9999446709097859,0.999853023713695,0.9996579488928559,0.9992738691165367,0.9998056612234446,0.9999899007467972
gbpjpy,idx,agg_min_45,2179062,0.9999890235979827,0.9999816604048776,0.9999703666878689,0.9999578902136331,0.9999453848554759,0.9999329411760233,0.9999205806101373,0.9999886976127693,0.9999899007467971,0.9999867600280369,0.9999796426901434,0.9999697082051118,0.999957839210353,0.9999454203234991,0.9999686756537611,0.9999757039898481,0.9999806403214615,0.9999834818278108,0.9999842261784051,0.9999828686054466,0.999979398579235,0.9999206483315266,0.999930391691655,0.9999390935614257,0.9999467514093295,0.9999533662134554,0.9999589457871425,0.9999634993739661,0.9998227868145376,0.9998337227345255,0.9998441428588819,0.9998540481979097,0.9998634411987628,0.9998723245812485,0.9998806996099994,0.9996243787308744,0.9996359976336233,0.9996473576486075,0.9996584606308635,0.9996693079615856,0.9996799007013798,0.9996902389430571,0.9992394635536599,0.9992511406615231,0.999262692231923,0.9992741185259337,0.9992854202923533,0.9992965979686633,0.9993076505817003,0.9999568353637142,0.9999739955452444,0.9999792850222812,0.9999446709097858,0.9998530237136951,0.999657948892856,0.9992738691165367,0.9998056612234446,0.9999899007467971
audusd,idx,reg_mean_90,2121200,0.9999261541098653,0.9998703966737552,0.9998076358745311,0.9997438658436921,0.9996802088853083,0.9996166116773785,0.9995530019201208,0.9999898962727997,0.9999620169960315,0.9999199464112379,0.9998672689203397,0.9998075638654128,0.9997443880549628,0.9996807025801331,0.9999626387067119,0.9999785534898505,0.9999838558174564,0.9999785493346469,0.9999626328265103,0.9999360938869141,0.9998991981514843,0.9997583567621007,0.9997980912749302,0.999832528749876,0.9998616731608407,0.999885527608199,0.9999040917428185,0.9999173586290004,0.9992742964248372,0.999326100867563,0.9993752423238954,0.9994217204908445,0.9994655361960543,0.9995066888513853,0.9995451761458211,0.998288604115126,0.9983450995948253,0.9984003022327455,0.9984542099998208,0.9985068226555718,0.99855813947966,0.9986081591021165,0.9963779939109998,0.9964358206851355,0.9964930022749744,0.9965495394306394,0.99660543332086,0.996660684306068,0.9967152921691472,0.999742553569236,0.9998531118715598,0.999957360316225,0.9998510897039665,0.9994163944714858,0.9984516195971237,0.9965482522996892,0.9991171974041838,0.9999898962727997
audusd,idx,agg_mean_90,2121200,0.9999261541098653,0.9998703966737552,0.999807635874531,0.9997438658436925,0.9996802088853083,0.9996166116773785,0.9995530019201204,0.9999898962727995,0.9999620169960314,0.9999199464112379,0.9998672689203397,0.9998075638654129,0.9997443880549628,0.9996807025801331,0.9999626387067114,0.9999785534898503,0.999983855817456,0.9999785493346467,0.9999626328265104,0.9999360938869144,0.9998991981514843,0.9997583567621007,0.9997980912749305,0.999832528749876,0.9998616731608407,0.999885527608199,0.9999040917428188,0.9999173586290004,0.999274296424837,0.9993261008675632,0.9993752423238956,0.9994217204908448,0.9994655361960542,0.9995066888513853,0.9995451761458211,0.998288604115126,0.9983450995948255,0.9984003022327455,0.9984542099998206,0.998506822655572,0.9985581394796597,0.9986081591021158,0.9963779939109997,0.9964358206851355,0.9964930022749741,0.9965495394306394,0.9966054333208599,0.996660684306068,0.9967152921691472,0.9997425535692359,0.9998531118715598,0.9999573603162248,0.9998510897039665,0.9994163944714858,0.9984516195971235,0.9965482522996892,0.9991171974041836,0.9999898962727995
euraud,idx,agg_mean_90,2169762,0.9999259432726405,0.9998698747367979,0.9998066147883229,0.999742100062882,0.9996774191212153,0.9996125829047292,0.9995475763875602,0.9999898498996748,0.9999618149878498,0.9999194484322164,0.9998663079205594,0.999805940233484,0.9997419015261799,0.9996771521160938,0.999962434305846,0.9999786036979461,0.999983986921653,0.9999785922027963,0.9999624177055791,0.9999354680929735,0.9998980175976243,0.9997544055058377,0.9997948698471686,0.9998299829585868,0.9998597310387156,0.9998840988849707,0.9999030780841166,0.999916651590699,0.9992658961007331,0.9993186163678056,0.999368570006114,0.9994157551968158,0.9994601717634977,0.9995018230671409,0.9995407084631805,0.9982591589856823,0.9983165770254424,0.9983727050552016,0.9984275352328102,0.998481059157443,0.9985332689241558,0.9985841553691904,0.9964624777130159,0.9965171120852718,0.9965711295776802,0.9966245325494985,0.9966773220470667,0.9967294994426191,0.9967810657977781,0.9997403016105926,0.9998517735880084,0.9999570743606311,0.9998489739871564,0.9994102201378983,0.9984249228214181,0.9966233056018472,0.9991223674439361,0.9999898498996748
euraud,idx,reg_mean_90,2169762,0.9999259432726405,0.9998698747367979,0.999806614788323,0.999742100062882,0.9996774191212151,0.999612582904729,0.9995475763875602,0.9999898498996748,0.9999618149878498,0.9999194484322161,0.9998663079205596,0.9998059402334841,0.9997419015261799,0.9996771521160939,0.9999624343058456,0.9999786036979461,0.9999839869216534,0.9999785922027964,0.9999624177055791,0.9999354680929736,0.9998980175976246,0.9997544055058377,0.9997948698471687,0.9998299829585868,0.9998597310387155,0.9998840988849707,0.9999030780841167,0.9999166515906988,0.9992658961007329,0.9993186163678057,0.9993685700061141,0.9994157551968159,0.9994601717634977,0.9995018230671409,0.9995407084631803,0.9982591589856823,0.9983165770254425,0.9983727050552016,0.9984275352328104,0.9984810591574431,0.998533268924156,0.9985841553691904,0.9964624777130158,0.9965171120852718,0.9965711295776801,0.9966245325494985,0.9966773220470666,0.996729499442619,0.9967810657977785,0.9997403016105926,0.9998517735880084,0.9999570743606314,0.9998489739871564,0.9994102201378983,0.9984249228214181,0.9966233056018472,0.9991223674439361,0.9999898498996748
usdcad,idx,agg_mean_45,2155311,0.9999819560419085,0.9999370131298838,0.9998787739098166,0.999818679901112,0.999758991388437,0.9996997333147892,0.999640875823956,0.9999897910145731,0.99998979049153,0.9999696921849954,0.9999306218132556,0.9998783039310113,0.9998195527335189,0.9997600744343008,0.9999050894142605,0.9999346425924208,0.9999543316218946,0.999964171202719,0.9999641705046433,0.9999543292820664,0.9999346379565804,0.9996885237114349,0.9997322509767901,0.9997710575910802,0.99980495909465,0.9998339744162147,0.9998581223219846,0.9998774275217975,0.9992360430410275,0.9992863561308998,0.9993342655656492,0.9993797740987381,0.9994228850904568,0.999463603239012,0.9995019319018259,0.9983503705907979,0.998402986348136,0.9984543936354652,0.9985045971925792,0.9985536037398269,0.9986014178655604,0.9986480421871424,0.9965936281392261,0.9966468793031625,0.9966995653409823,0.9967516882518687,0.9968032493920486,0.996854249039046,0.9969046868894451,0.9998165747871289,0.999905403800455,0.9999444817963693,0.9997951879477073,0.9993749798668013,0.9985022016513584,0.9967505637651113,0.9991556276592759,0.9999897910145731
usdcad,idx,reg_mean_45,2155311,0.9999819560419082,0.9999370131298838,0.9998787739098166,0.9998186799011121,0.9997589913884368,0.9996997333147892,0.999640875823956,0.9999897910145726,0.9999897904915298,0.9999696921849951,0.9999306218132555,0.9998783039310111,0.9998195527335189,0.9997600744343004,0.9999050894142605,0.9999346425924208,0.9999543316218946,0.999964171202719,0.9999641705046434,0.9999543292820664,0.9999346379565806,0.999688523711435,0.9997322509767899,0.9997710575910805,0.9998049590946502,0.9998339744162147,0.9998581223219846,0.9998774275217972,0.9992360430410272,0.9992863561309002,0.9993342655656489,0.9993797740987383,0.9994228850904568,0.9994636032390121,0.9995019319018258,0.9983503705907982,0.9984029863481362,0.9984543936354652,0.9985045971925794,0.9985536037398267,0.9986014178655602,0.9986480421871428,0.9965936281392259,0.9966468793031623,0.996699565340982,0.9967516882518688,0.9968032493920485,0.9968542490390458,0.9969046868894449,0.9998165747871289,0.9999054038004548,0.9999444817963693,0.9997951879477075,0.9993749798668012,0.9985022016513583,0.9967505637651112,0.9991556276592759,0.9999897910145726
cadjpy,idx,reg_const_term_45,2182203,0.9999686424080794,0.9999526449503577,0.9999366333862585,0.9999206446494936,0.9999047178555536,0.9998888722659132,0.9998731047141288,0.9999895307410107,0.9999817080387124,0.9999685832582996,0.9999526194356662,0.9999366570881283,0.9999207282172203,0.9999048497348288,0.9999785042312153,0.9999825731250988,0.9999839918341513,0.9999827499234418,0.9999788572625259,0.9999723180076111,0.999963131485682,0.9999256340416781,0.9999355376537362,0.9999441150159245,0.9999513662427206,0.9999573029393752,0.9999619301238826,0.99996524731409,0.9998066044741388,0.9998192110613139,0.9998311643955413,0.9998424669508496,0.9998531205102386,0.9998631248242943,0.9998724820776682,0.9995577152655692,0.9995719977638924,0.9995859446401554,0.9995995565061683,0.9996128337551323,0.9996257781837993,0.999638390887013,0.999062773001036,0.9990774815782658,0.9990920324909686,0.9991064263682599,0.9991206640161063,0.9991347445875293,0.999148668005419,0.9999207514613978,0.9999506680734095,0.9999774465528181,0.9999487333330581,0.9998411677562922,0.9995988881431044,0.9991061128639407,0.99976339545486,0.9999895307410107
