target,rank,feature_id,column_name,variant,correlation,n_samples
w1440_h105,86,agg_bqx_eurusd.agg_max_1440,agg_max_1440,bqx,0.3176,1215516
w1440_h105,87,mom_eurusd.mom_pos_count_180,mom_pos_count_180,idx,0.3167,1215518
w1440_h105,88,align_eurusd.zscore_360,zscore_360,idx,0.3156,1215518
w1440_h105,89,reg_eurusd.reg_zscore_360,reg_zscore_360,idx,0.3156,1215518
w1440_h105,90,lag_bqx_eurusd_90.ema_90,ema_90,bqx,0.2883,1209473
w1440_h105,91,reg_bqx_eurusd.reg_min_1440,reg_min_1440,bqx,0.2876,1215516
w1440_h105,92,agg_bqx_eurusd.agg_min_1440,agg_min_1440,bqx,0.2876,1215516
w1440_h105,93,reg_bqx_eurusd.reg_mean_90,reg_mean_90,bqx,0.2872,1215516
w1440_h105,94,agg_bqx_eurusd.agg_mean_90,agg_mean_90,bqx,0.2872,1215516
w1440_h105,95,agg_bqx_eurusd.agg_sum_90,agg_sum_90,bqx,0.2872,1215516
w1440_h105,96,mom_eurusd.mom_roc_smooth_90,mom_roc_smooth_90,idx,0.2872,1215513
w1440_h105,97,reg_bqx_eurusd.reg_max_720,reg_max_720,bqx,0.2702,1215516
w1440_h105,98,agg_bqx_eurusd.agg_max_720,agg_max_720,bqx,0.2702,1215516
w1440_h105,99,lag_eurusd_90.momentum_90,momentum_90,idx,0.263,1215513
w1440_h105,100,der_eurusd.der_v1_90,der_v1_90,idx,0.263,1215513
w1440_h15,1,reg_eurusd.reg_slope_1440,reg_slope_1440,idx,0.9962,1215518
w1440_h15,2,der_eurusd.der_v1_1440,der_v1_1440,idx,0.9958,1215422
w1440_h15,3,mom_eurusd.mom_diff_1440,mom_diff_1440,idx,0.9958,1215422
w1440_h15,4,eurusd_bqx.bqx_1440,bqx_1440,bqx,0.9945,1215422
w1440_h15,5,mom_eurusd.mom_roc_1440,mom_roc_1440,idx,0.9945,1215422
w1440_h15,6,mom_eurusd.mom_roc_smooth_1440,mom_roc_smooth_1440,idx,0.9844,1215422
w1440_h15,7,agg_bqx_eurusd.agg_sum_1440,agg_sum_1440,bqx,0.9844,1215516
w1440_h15,8,agg_bqx_eurusd.agg_mean_1440,agg_mean_1440,bqx,0.9843,1215516
w1440_h15,9,reg_bqx_eurusd.reg_mean_1440,reg_mean_1440,bqx,0.9843,1215516
w1440_h15,10,reg_eurusd.reg_deviation_2880,reg_deviation_2880,idx,0.9238,1215518
w1440_h15,11,div_eurusd.div_45_2880,div_45_2880,idx,-0.9186,1215518
w1440_h15,12,reg_eurusd.reg_deviation_1440,reg_deviation_1440,idx,0.8718,1215518
w1440_h15,13,div_eurusd.div_90_1440,div_90_1440,idx,-0.8683,1215518
w1440_h15,14,reg_eurusd.reg_zscore_2880,reg_zscore_2880,idx,0.8076,1215518
w1440_h15,15,agg_eurusd.agg_position_2880,agg_position_2880,idx,0.7825,1215518
w1440_h15,16,agg_eurusd.agg_position_1440,agg_position_1440,idx,0.7622,1215518
w1440_h15,17,align_eurusd.pos_1440,pos_1440,idx,0.7622,1215518
w1440_h15,18,reg_eurusd.reg_slope_2880,reg_slope_2880,idx,0.7545,1215518
w1440_h15,19,der_eurusd.der_v1_2880,der_v1_2880,idx,0.7544,1215391
w1440_h15,20,eurusd_bqx.bqx_2880,bqx_2880,bqx,0.7527,1215391
w1440_h15,21,reg_eurusd.reg_direction_1440,reg_direction_1440,idx,0.7482,1215518
w1440_h15,22,align_eurusd.dir_1440,dir_1440,idx,0.7479,1215422
w1440_h15,23,mom_eurusd.mom_dir_1440,mom_dir_1440,idx,0.7479,1215422
w1440_h15,24,agg_bqx_eurusd.agg_sum_2880,agg_sum_2880,bqx,0.7439,1215516
w1440_h15,25,agg_bqx_eurusd.agg_mean_2880,agg_mean_2880,bqx,0.7439,1215516
w1440_h15,26,reg_bqx_eurusd.reg_mean_2880,reg_mean_2880,bqx,0.7439,1215516
w1440_h15,27,mom_eurusd.mom_pos_count_720,mom_pos_count_720,idx,0.7192,1215518
w1440_h15,28,mom_eurusd.mom_roc_smooth_720,mom_roc_smooth_720,idx,0.7168,1215469
w1440_h15,29,agg_bqx_eurusd.agg_sum_720,agg_sum_720,bqx,0.7168,1215516
w1440_h15,30,agg_bqx_eurusd.agg_mean_720,agg_mean_720,bqx,0.7168,1215516
w1440_h15,31,reg_bqx_eurusd.reg_mean_720,reg_mean_720,bqx,0.7168,1215516
w1440_h15,32,der_eurusd.der_v1_720,der_v1_720,idx,0.7126,1215469
w1440_h15,33,mom_eurusd.mom_diff_720,mom_diff_720,idx,0.7126,1215469
w1440_h15,34,reg_eurusd.reg_slope_720,reg_slope_720,idx,0.7121,1215518
w1440_h15,35,mrt_eurusd.mrt_tension_2880,mrt_tension_2880,idx,0.7115,1215518
w1440_h15,36,mom_eurusd.mom_roc_720,mom_roc_720,idx,0.7106,1215469
w1440_h15,37,eurusd_bqx.bqx_720,bqx_720,bqx,0.7106,1215469
w1440_h15,38,align_eurusd.zscore_1440,zscore_1440,idx,0.6953,1215518
w1440_h15,39,reg_eurusd.reg_zscore_1440,reg_zscore_1440,idx,0.6953,1215518
w1440_h15,40,mrt_eurusd.mrt_tension_1440,mrt_tension_1440,idx,0.6946,1215518
w1440_h15,41,mrt_eurusd.mrt_tension_composite,mrt_tension_composite,idx,0.6358,1215518
w1440_h15,42,reg_eurusd.reg_deviation_720,reg_deviation_720,idx,0.6231,1215518
w1440_h15,43,div_eurusd.div_180_720,div_180_720,idx,-0.6146,1215518
w1440_h15,44,reg_eurusd.reg_direction_2880,reg_direction_2880,idx,0.5712,1215518
w1440_h15,45,mom_eurusd.mom_pos_count_1440,mom_pos_count_1440,idx,0.5659,1215518
w1440_h15,46,mom_bqx_eurusd.mom_pos_count_1440,mom_pos_count_1440,bqx,0.5257,1215516
w1440_h15,47,agg_bqx_eurusd.agg_sum_360,agg_sum_360,bqx,0.5194,1215516
