pair,feature_name,source_table,best_horizon,max_corr,h15,h30,h45,h60,h75,h90,h105
chfjpy,agg_min_360,agg_chfjpy,h15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,val1,cov_lag_chfjpy_usdchf,h75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,reg_max_720,reg_chfjpy,h15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,agg_max_720,agg_chfjpy,h15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,reg_const_term_360,reg_chfjpy,h15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,reg_first_360,reg_chfjpy,h15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,agg_mean_1440,agg_chfjpy,h15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,reg_mean_1440,reg_chfjpy,h15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,reg_min_720,reg_chfjpy,h15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,agg_min_720,agg_chfjpy,h15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eurjpy,reg_mean_360,reg_eurjpy,h15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eurjpy,agg_mean_360,agg_eurjpy,h15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eurjpy,reg_mean_720,reg_eurjpy,h15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eurjpy,agg_mean_720,agg_eurjpy,h15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,reg_max_1440,reg_chfjpy,h15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,agg_max_1440,agg_chfjpy,h15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eurjpy,agg_mean_180,agg_eurjpy,h45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eurjpy,reg_mean_180,reg_eurjpy,h45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eurjpy,sma_90,lag_eurjpy_90,h75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eurjpy,agg_mean_90,agg_eurjpy,h75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eurjpy,reg_mean_90,reg_eurjpy,h75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
usdjpy,reg_mean_360,reg_usdjpy,h15,1.0,1.0,1.0,1.0,1.0,0.9999,0.9999,0.9999
usdjpy,agg_mean_360,agg_usdjpy,h15,1.0,1.0,1.0,1.0,1.0,0.9999,0.9999,0.9999
usdjpy,agg_sum_360,agg_usdjpy,h15,1.0,1.0,1.0,1.0,1.0,0.9999,0.9999,0.9999
usdjpy,agg_sum_720,agg_usdjpy,h15,1.0,1.0,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
usdjpy,reg_mean_720,reg_usdjpy,h15,1.0,1.0,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
usdjpy,agg_mean_720,agg_usdjpy,h15,1.0,1.0,0.9999,0.9999,0.9999,0.9999,0.9999,0.9999
eurjpy,sma_45,lag_eurjpy_45,h90,1.0,0.9999,0.9999,0.9999,1.0,1.0,1.0,1.0
eurjpy,agg_mean_45,agg_eurjpy,h90,1.0,0.9999,0.9999,0.9999,0.9999,1.0,1.0,1.0
eurjpy,reg_mean_45,reg_eurjpy,h90,1.0,0.9999,0.9999,0.9999,0.9999,1.0,1.0,1.0
eurjpy,val2,cov_reg_audjpy_eurjpy,h90,1.0,0.9999,0.9999,0.9999,0.9999,1.0,1.0,1.0
eurjpy,val2,cov_agg_audjpy_eurjpy,h90,1.0,0.9999,0.9999,0.9999,0.9999,1.0,1.0,1.0
eurjpy,val1,cov_agg_eurjpy_eurnzd,h90,1.0,0.9999,0.9999,0.9999,0.9999,1.0,1.0,1.0
eurjpy,val1,cov_reg_eurjpy_eurnzd,h90,1.0,0.9999,0.9999,0.9999,0.9999,1.0,1.0,1.0
eurjpy,val1,cov_reg_eurjpy_gbpjpy,h90,1.0,0.9999,0.9999,0.9999,0.9999,1.0,1.0,1.0
eurjpy,val1,cov_agg_eurjpy_gbpjpy,h90,1.0,0.9999,0.9999,0.9999,0.9999,1.0,1.0,1.0
eurjpy,val1,cov_agg_eurjpy_nzdjpy,h90,1.0,0.9999,0.9999,0.9999,0.9999,1.0,1.0,1.0
eurjpy,val1,cov_reg_eurjpy_nzdjpy,h90,1.0,0.9999,0.9999,0.9999,0.9999,1.0,1.0,1.0
eurjpy,val2,cov_agg_eurcad_eurjpy,h90,1.0,0.9999,0.9999,0.9999,0.9999,1.0,1.0,1.0
eurjpy,val2,cov_reg_eurcad_eurjpy,h90,1.0,0.9999,0.9999,0.9999,0.9999,1.0,1.0,1.0
eurjpy,val2,cov_agg_cadjpy_eurjpy,h90,1.0,0.9999,0.9999,0.9999,0.9999,1.0,1.0,1.0
eurjpy,val2,cov_reg_cadjpy_eurjpy,h90,1.0,0.9999,0.9999,0.9999,0.9999,1.0,1.0,1.0
eurjpy,val1,cov_reg_eurjpy_usdjpy,h90,1.0,0.9999,0.9999,0.9999,0.9999,1.0,1.0,1.0
eurjpy,val1,cov_agg_eurjpy_usdjpy,h90,1.0,0.9999,0.9999,0.9999,0.9999,1.0,1.0,1.0
eurjpy,val2,cov_agg_euraud_eurjpy,h90,1.0,0.9999,0.9999,0.9999,0.9999,1.0,1.0,1.0
eurjpy,val2,cov_reg_euraud_eurjpy,h90,1.0,0.9999,0.9999,0.9999,0.9999,1.0,1.0,1.0
eurjpy,val1,cov_agg_eurjpy_eurusd,h90,1.0,0.9999,0.9999,0.9999,0.9999,1.0,1.0,1.0
